gene_name,DOR_1,DOR_2,DOR_3,NOR_1,NOR_2,NOR_3
MMP25,410,306,144,204,1484,651
IL32,696,2097,891,2705,5059,5773
PKD1,8157,10947,11714,6966,5864,3206
MAPK8IP2,98,177,166,218,190,135
MED24,6448,7566,7959,8840,5996,4404
RHOBTB2,1357,1217,1587,1536,863,794
HEATR5B,3315,2745,3584,1034,880,682
SEC62,14039,12586,11636,10488,9390,9344
RPS20,13595,15025,11020,40836,48713,54760
CSDE1,55036,51809,55136,31748,27282,20997
UBE3C,8863,9242,10215,4460,4024,2793
REV3L,6789,3904,7036,1664,2083,1525
TENM1,75,32,145,28,12,12
MASP2,499,364,261,43,50,49
IYD,0,0,0,0,4,0
FAM76A,707,537,579,585,652,626
TRAF3IP3,550,544,550,297,1046,595
POMT2,3610,3730,4005,5318,4190,3242
VTA1,4381,3640,3612,2939,2298,2090
MLXIPL,3461,4373,6300,8780,3024,4558
BAZ1B,12298,11372,14703,9352,5046,3137
RANBP9,5317,4955,4756,3282,2490,1620
ETV7,109,150,101,215,195,385
SPRTN,1263,1117,911,689,684,390
EEF1AKNMT,5407,7563,6067,10031,6808,6118
DYRK4,1299,1455,1035,2382,2381,2418
ZNF207,19470,15982,17187,11827,8399,6334
UQCRC1,10182,11473,9819,29145,24322,21530
STARD3NL,4564,4104,3991,4860,4339,2819
CD9,15540,12132,17021,8466,20425,18840
HHATL,0,0,0,0,0,16
NCAPD2,1127,1765,2461,1354,938,527
IFFO1,2533,2203,2642,5633,2219,2195
GIPR,35,74,16,23,106,69
PHF7,175,187,257,194,246,118
SEMA3G,12,404,0,0,20,31
NISCH,7118,9280,10147,14160,8878,4748
STAB1,1532,5197,880,2565,59003,9452
FUZ,1483,1467,1412,4340,2743,2865
SLC6A13,53,23,27,3,45,20
IDS,8086,6418,7472,4301,6762,4484
PRSS3,4,42,0,0,0,0
ZNF200,229,258,233,417,350,152
CD4,360,437,136,421,5192,973
LRRC23,810,476,731,2192,1716,1828
BTK,52,97,25,58,782,147
HFE,2099,1692,2630,2332,1225,924
SCMH1,9427,8774,12166,3924,3072,2324
FYN,2758,2865,2098,2036,3502,3130
HIVEP2,4342,3328,3766,596,1347,1108
FMO1,24,306,0,64,0,18
ELOA,2015,2839,2615,2423,1996,1374
LYPLA2,2766,4192,3067,7409,9453,6216
CLCN6,9536,6001,9824,5377,4878,3545
MRC2,1289,6145,989,3088,3043,2034
NME1-NME2,2387,2434,1766,6642,4834,8365
SLC6A7,0,0,4,0,4,42
TSPAN9,1560,2472,1240,1224,1301,1106
BTBD7,3176,2652,3307,1057,787,978
APBA3,1044,1536,1112,3203,2250,1487
MKS1,714,888,883,1724,814,666
ABHD5,14593,8029,13462,6592,6043,6372
ANOS1,2344,943,2817,1368,842,582
AKAP8L,7267,7732,8238,21860,14263,12697
MBTD1,1609,1459,1599,1027,603,428
UTP18,2109,2751,2090,2153,2459,1746
RNF216,3970,4050,4683,3634,3140,2303
TTC19,5657,4905,5003,5238,4927,4006
PTBP1,28516,34697,30137,18625,19325,14297
DPF1,53,95,48,144,152,138
SYT7,285,925,331,414,428,434
LARS2,2893,2738,2959,2234,1410,1256
PIK3C2A,11777,9551,11216,3558,3503,3428
PLAUR,3186,5376,3648,2687,29592,37056
ANLN,306,1023,296,207,414,307
WIZ,5712,7322,6132,5947,4471,3824
RABGAP1,4158,3901,4828,2294,1500,933
DCN,20742,41039,16357,8971,10603,14424
QPCTL,1920,1028,1727,2055,1926,1544
PPP5C,3308,4651,3620,5427,3491,2784
CEP68,875,1682,1143,1264,1404,363
MAP4K3,4749,3572,4376,2095,2012,1915
ZBTB32,25,31,10,8,45,46
TYROBP,323,318,119,618,19970,5020
TMEM159,359,640,481,487,222,450
GABRA3,4,36,0,4,4,4
BRCA1,139,291,188,145,144,72
ERCC1,8622,7656,8587,14559,14782,11210
CD22,468,2165,1464,777,1236,1065
SEMA3B,5723,8487,4759,8344,22035,14571
MBTPS2,3025,2747,2918,1693,885,401
PRICKLE3,347,569,417,867,406,314
LTF,8,852,0,0,51,26
EXTL3,1976,2696,2445,2058,2151,1093
NR1H4,1340,850,1668,1940,532,308
ELOVL5,90917,74338,83838,38560,39862,21163
ALOX5,1930,2944,1213,2441,4389,1949
KDM5D,0,50,0,14,14,25
CALCOCO1,4453,5633,5425,3954,3128,1563
UBR7,2212,2054,1949,1592,1402,727
MAP4K5,8261,6539,6569,2725,3079,3553
EHD3,333,1706,438,220,241,286
PSMC4,7341,8406,7623,12862,13127,10371
MAN2B2,6883,6892,7376,5305,4741,3122
SLC7A14,0,22,7,12,0,4
CLDN11,5011,8019,8101,3537,2158,3135
SLC25A39,7469,10378,7215,19993,18662,18987
MVP,22075,26172,27111,45703,56805,53965
NUB1,4555,4662,4794,4369,3390,2800
PGM3,13564,9104,10669,5009,5782,5177
RWDD2A,1026,440,668,711,471,734
CLK1,13063,11689,11838,8810,7638,7378
POLR3B,947,829,995,631,338,261
ANGEL1,1369,1868,2210,1494,940,997
RNF14,18309,13991,17575,25019,9757,9564
DNASE1L1,282,398,318,273,553,209
DDX11,284,601,682,1191,387,547
HEBP1,3384,4072,3289,5708,4554,4270
GPRC5A,5673,13025,7942,1710,3005,3156
MAMLD1,2283,3126,3196,326,2367,2510
CD6,383,265,101,154,1285,1120
TACC3,616,1169,710,1815,3245,1250
UFL1,3976,2909,3504,2549,1401,986
POLA2,189,153,188,557,442,390
ZC3H3,8482,8658,9704,15777,10248,3533
CAPN1,9805,11963,9566,14362,14545,9667
ACP3,92636,26376,77989,35954,10428,34941
MDH1,54747,37037,46631,88397,39369,43312
SLC30A9,11271,9731,10408,8079,4844,3920
MTMR11,1062,1014,1506,768,820,257
COX15,3440,3933,4260,3027,2240,1317
CCDC88C,401,793,421,102,937,351
YAF2,2788,2292,2255,2374,1871,1375
ZMYND11,11069,10097,8876,5567,4063,3392
WAS,270,353,164,353,3944,886
DPEP1,0,0,0,0,4,0
BID,599,1020,486,948,3800,2053
MATR3,13747,16816,21709,17415,16065,11294
NPC1L1,33,10,9,40,54,0
XYLT2,2906,2892,2487,3739,2169,2651
RGPD5,3897,4655,3685,1198,1694,1594
STMN4,22,25,41,36,0,101
NUDCD3,4485,5051,5149,5143,3979,2806
ISL1,8,4,0,6,0,0
CHDH,39,36,29,0,79,0
IL20RA,39,197,42,41,20,92
CLCA4,3,441,0,12,0,0
GLT8D1,3255,3360,3287,4546,3429,3375
ATP2C1,10886,8733,9294,5261,4216,3539
IGF1,0,9,0,0,9,8
SLC38A5,328,738,575,743,389,774
RALBP1,8575,9815,9012,6841,5778,4442
RUFY3,11578,12406,10321,5969,6986,6430
CNTN1,212,280,67,62,84,47
SLC11A1,771,1022,235,440,26410,4546
WWTR1,7654,8197,6556,3442,3070,4063
AGPS,4094,3519,3685,1648,2118,924
ZNF806,6,0,0,0,0,0
CXorf56,1426,1337,1232,1698,1177,1245
ATP1A2,24,51,40,0,27,26
TTC27,5764,4953,5329,6483,5223,4812
ZNF582,147,184,144,330,110,66
VSIG2,6,659,10,5,16,30
PHLDB1,4122,7878,4463,3549,4895,3423
MARCO,83,372,139,3488,15640,1379
CYP24A1,125,67,0,81,71,26
PRDM11,641,690,929,471,384,284
SYT13,14,4,0,0,8,24
SNAI2,2877,7034,3400,1936,2177,1690
CD74,6355,13175,4516,12516,101219,36027
HGF,1541,2012,1142,995,1258,727
ZRANB1,9792,6313,9750,2126,2123,5045
NCDN,3588,3391,2889,2507,2841,1705
ADGRA2,174,3048,207,56,226,58
CCT8L1P,4,0,0,24,0,0
ZFP64,890,824,788,711,387,289
MNAT1,918,920,906,1866,1166,785
SAMD4A,2046,2837,3296,87,1082,1485
RUNX3,689,446,278,110,1849,1377
MRE11,2059,1628,1713,1282,1485,861
PLEKHB1,129,138,154,311,117,110
SERPINB1,14668,12981,13901,18134,18507,15002
CYP3A43,196,165,275,180,164,164
SLC7A9,45,50,103,54,0,64
SPAST,2388,2092,2277,1925,1162,1073
NRXN3,22,31,12,12,55,43
OSBPL5,1791,3016,2402,1884,1619,1167
AQR,5940,4400,5856,2576,2069,1306
CPS1,76,316,55,74,13,15
FHL1,3626,1902,4374,2166,1665,1410
RTF2,6331,6199,5390,9119,7428,5449
NLRP2,1736,1609,1759,2863,1484,844
SLC45A4,542,781,552,599,732,891
RNF10,19086,18963,21090,22040,16746,13930
ZNF839,929,1163,1475,2436,1129,698
ZDHHC6,2150,2127,2107,3087,2258,1395
GRAMD1B,71976,75134,82436,123934,50191,37156
RNH1,12679,14626,11634,29878,35276,28409
NDUFS1,9415,8258,10246,7588,4617,3624
RB1CC1,8122,7189,7848,3907,2925,3017
ERP44,7076,5864,6806,10324,9281,6777
ALAS1,4755,7629,4583,6418,5911,4143
BIRC3,2769,3317,4634,2097,2022,3500
AKAP11,6308,4461,6832,2586,1645,1409
GLRX2,2292,1930,1518,3172,3182,2482
SNAPC1,1276,886,1180,1097,1026,703
DERA,4142,3328,4301,8159,4569,3194
STRAP,20467,18973,18324,24482,22034,18689
ABCC2,259,220,64,131,193,57
DEF6,314,556,280,876,6027,1362
PLEKHO1,6052,7050,4643,6021,23472,20550
GCLM,7061,5263,5085,2146,3190,2946
UBR2,3761,3636,4475,2866,1963,1545
EHD2,8334,12812,10879,6926,7800,5768
DEPDC1,29,210,31,52,102,21
CCDC28A,1372,1196,1002,2497,1647,1312
RRAGD,274,221,376,241,548,271
HSF2,1832,2217,1580,1564,957,922
PHF20,2958,2394,2982,1834,2335,1441
HSD17B6,342,398,139,644,117,140
NR1H3,820,1087,791,3303,1927,1732
TYMP,3421,7678,3483,7977,76958,29023
NCAPH2,2967,4065,2756,8279,14073,9832
TOMM34,13055,17860,13293,14879,16191,13641
SEC63,13436,11138,15520,6796,6909,4745
KPNA6,6076,7208,7201,4105,3547,3054
VIM,148324,120293,105002,170187,214161,191773
RTEL1-TNFRSF6B,2816,4331,4308,7208,5943,4227
FAS,2117,2967,2577,691,917,1283
RNASET2,1951,2477,1748,7014,12011,7097
CD44,3904,6667,5208,1016,18117,9583
KCNG1,232,192,143,434,249,558
AGPAT4,3478,1520,2397,644,2366,2488
SLAMF7,47,93,126,7,258,1334
BTN3A1,1889,2076,1786,1023,820,419
MIPEP,1416,1220,1402,1252,961,791
PRKCH,13300,14886,13857,4785,12232,5785
INSRR,8,0,7,0,0,16
IFNGR1,6627,6518,5425,3783,5987,3504
B4GALT7,2165,2134,1894,5206,4509,3995
SH2D2A,128,205,48,58,874,326
VRK2,1799,1588,1589,1191,1104,614
TNFRSF1B,1254,2119,552,518,19888,4963
VEZT,5258,4538,5588,3971,2267,1990
POU2F2,92,120,52,120,690,443
BRD9,3658,4998,4437,4327,4538,3622
SNX1,9633,10722,10338,12228,9773,5967
TBPL1,3012,2676,3325,4306,1791,3090
ARNTL2,327,603,434,79,225,339
BCLAF1,26097,21433,24568,15607,10659,8454
SLC39A9,8323,6445,7621,5587,4418,3063
ANK1,373,388,364,498,240,562
TFB1M,405,568,432,909,609,510
RABEP1,6854,6414,6095,2850,2697,1858
HMGB3,592,752,567,784,1453,966
NUP160,3020,2694,2762,1444,872,668
BAK1,2728,2830,2441,2532,3177,2182
MUSK,0,0,0,0,4,0
IKZF2,283,351,247,211,68,54
GRN,12102,15725,10779,29932,56004,30947
FAM13B,6985,4911,6449,1958,1613,1029
ARHGAP31,4614,7181,6413,2994,2503,1303
CENPQ,230,190,229,276,162,186
SARS1,10449,10189,10744,15445,13353,14218
RANBP3,3336,3934,3750,6200,5291,4299
ARID4A,3966,2804,4665,1405,909,693
EIPR1,2646,2224,2251,4880,2534,2712
PNPLA6,6217,6287,5964,9611,15188,9711
IFT88,1088,1070,1353,1354,834,806
ALG1,1947,2426,2009,2877,2752,3519
ZCCHC8,1899,1924,1936,1135,1216,709
ABCF2,4364,5540,5122,3323,5203,3296
CHPF2,11412,11828,11820,13171,14649,12133
LRRC7,120,118,87,10,55,101
FUT8,693,881,676,345,357,328
UBA6,8244,6887,5668,4210,4407,2280
GAB2,2884,3146,3846,721,2411,1685
ATP6V0A1,3425,3969,4176,4599,5670,4248
PIAS1,2489,2575,2548,1491,1409,907
SLC4A7,2631,3621,1981,504,1695,816
APBA2,808,713,1023,415,655,769
MAP2K3,9509,13602,9883,6914,17860,18895
EFCAB1,24,26,43,0,0,0
TMSB10,66474,79282,51858,396164,384010,588719
ASTE1,490,359,457,547,391,202
RNF19A,9826,10313,10522,3619,5802,4768
PEX3,914,725,720,657,345,262
GABARAPL2,3802,4016,3033,6973,5538,4827
MYOC,0,12,18,20,12,16
SH3YL1,1508,1976,1170,1411,724,735
FAM136A,3115,3502,2951,4782,4017,3979
VCL,65704,55636,61223,16732,23097,14063
DEPDC1B,55,129,26,67,20,77
DAPK2,40,221,58,56,220,62
NSMAF,3821,3291,4061,2255,2357,1594
ADSS2,4478,4117,3862,1640,2555,1919
STAP1,6,15,33,0,34,35
TIMP2,12664,16861,9813,7282,12970,7845
RFC1,5153,4573,5074,2444,1876,1871
TBC1D23,13490,11025,13105,5483,7113,4952
CUL3,10662,9379,8989,7143,6129,5030
MYOM2,118,165,97,22,165,116
OTC,0,2,8,0,0,0
CYP46A1,79,136,79,31,20,16
ZZZ3,3404,3040,3041,2083,885,654
SLC18A1,20,0,0,39,0,0
USP2,246,302,278,152,298,322
CASR,8,120,4,0,10,76
TUBG2,3543,2820,3106,4271,3544,3706
RPL26L1,1642,1623,1336,3072,3328,2836
FLT4,33,1306,45,12,68,7
NSUN2,6458,8200,6926,3620,4856,3635
FBXO42,2851,2754,3178,3267,2476,1312
MFAP3,1825,1365,1385,214,123,83
MRI1,938,1014,1084,1325,1038,726
METTL1,1269,2046,1287,1370,2342,2158
HOXC8,0,105,50,29,123,82
AGA,2006,1469,1343,1833,1512,1424
PI4K2B,2196,1868,1970,888,738,895
BOD1L1,5035,3532,5277,1229,1395,1408
MAT2B,3815,3955,3133,4291,2848,2038
TLL1,38,8,0,0,30,0
EDC4,4824,5926,4840,6101,8280,4252
TRIO,13600,17576,16360,3658,5019,4624
VCAN,38839,12182,26427,11772,15801,8491
CLEC16A,6795,6993,7836,5784,4296,4789
MSR1,1409,935,786,604,4404,840
CDH1,72,2739,28,20,26,49
MTREX,4806,4714,5019,3774,2461,1667
DNAH5,0,36,0,0,0,7
ZFYVE16,5338,4519,5141,3337,2369,1866
RIPOR1,2951,6898,3399,3601,5778,3759
C6,12,879,42,43,61,22
RAI14,2063,3238,2050,1119,1259,1276
SOX30,8,8,0,0,0,0
PNKP,4599,8724,6026,8381,9876,7045
BEST2,15,0,0,0,0,0
PHLPP2,4721,4296,4486,1545,1399,1146
SPDL1,440,533,457,409,322,252
STAU2,2475,2490,2335,1907,839,729
SLC66A1,829,670,548,1673,1912,1079
CTNS,1898,2928,2760,2072,1936,1407
RTN4R,4,24,0,15,0,39
PHF23,1377,2278,1673,4175,2092,1328
CDH10,0,11,0,16,4,0
INPP4A,3116,3332,3134,1521,1602,714
RAB27B,132,506,68,30,71,24
PSMA4,8469,8295,7547,17790,15000,10431
MYO16,235,154,146,78,165,120
LSG1,2676,3379,2936,2795,2496,2117
PARP3,1494,1452,1220,1471,940,800
TNC,608,1708,597,418,1050,1197
THAP3,408,639,515,2245,1437,1480
RIPOR3,1806,1961,2315,370,578,704
TDP1,570,797,590,490,618,462
AIFM2,1738,1490,1675,2557,3113,1948
C2orf83,12,2,6,0,0,2
SPATA7,1590,1162,1469,2375,1363,971
MED17,5583,3314,6656,2065,1781,1322
RETSAT,4274,3718,4245,2565,1744,1644
CAPG,508,2094,223,723,4993,1855
AP2S1,2994,3598,2720,13050,17034,15917
USH2A,12,7,24,8,7,8
ZPBP,12,0,0,0,0,0
TG,83,75,70,76,76,75
ADAM28,68,396,52,13,1227,168
BARX2,0,0,0,0,4,6
DCUN1D1,1999,1736,1821,1431,1072,724
JADE2,1614,1951,1723,1334,1254,758
ZIC2,4,0,0,0,0,0
LCP2,532,755,502,207,6475,2857
TRIT1,1179,1371,1212,1209,1221,1204
ADRB1,26,32,32,96,2,0
CUL7,7798,7868,6602,8112,5850,5038
CTNNA1,24965,25838,26545,20543,21437,15559
PHKA2,4472,4356,5574,4800,3144,2815
CNTLN,2079,1450,2185,1333,688,505
EPHA3,32,118,75,0,0,8
HSPA5,94387,63257,85673,68940,82222,62581
DSG2,10216,5736,12175,1658,1168,1478
GEMIN8,1275,1269,1449,3775,1850,2225
OFD1,2433,3301,2411,2950,2235,1977
GPM6B,1253,823,646,616,1208,463
MAGEC2,0,0,36,6,22,24
PREX2,0,335,32,0,0,8
WDR37,8666,5521,7506,4003,3103,3780
YTHDC2,5809,5698,5997,2949,3655,2436
CTPS2,2026,1321,1987,1349,891,1036
ATP6V1H,2381,2211,2036,4397,3269,3205
POLR2B,15914,14395,15440,7842,6430,5126
FAM214A,3797,2100,2974,1995,1370,977
ARAP2,1077,893,1437,336,672,555
TPR,13746,12429,15493,7582,5560,4161
CP,109,142,44,32,204,25
KIAA0556,2528,2859,3046,1844,1435,1307
DTNBP1,393,689,495,1592,1174,936
XK,260,149,295,241,160,88
ANO2,12,71,16,10,36,0
C12orf4,1097,1308,1209,1144,878,367
SCML1,11508,6958,10777,5454,2671,3209
WWC3,3828,5267,4409,2636,3104,1879
ARHGAP6,4333,6992,6558,4469,3111,2239
FAM184B,14,20,51,26,33,0
MAP4,22695,25530,28766,12748,16035,13039
GOPC,1529,1565,1669,965,700,318
ROS1,0,0,0,0,0,0
USP28,1107,1080,1446,883,389,336
HDAC9,36,93,57,24,159,41
TSPAN17,3522,4325,3336,5872,5502,4794
NOP16,2362,3307,2612,4482,4487,3642
CC2D2A,857,731,882,678,362,518
RRM2B,3916,3007,3234,2279,1692,1241
ZNF800,4732,3155,3845,1171,1086,1206
TNFRSF17,0,0,0,0,20,0
SNX29,7911,7411,9919,4618,1848,2484
LMO3,92,49,77,227,52,230
MRPS10,2829,3012,2432,2398,1520,1653
RSF1,4481,4196,5075,3091,1752,1133
VPS13D,7328,5986,9574,3804,2697,2609
CELF2,1268,2224,1775,301,2263,888
