gene_name,DOR_1,DOR_2,DOR_3,NOR_1,NOR_2,NOR_3
ZNF493,1119,74,1036,1069,394,551
LINC00523,0,0,0,3,0,0
Metazoa_SRP,0,1,0,1,1,1
GTF2IRD2,1826,1476,2026,2542,1793,1518
GRM7,0,25,0,0,0,0
SUPT3H,2372,1649,2354,3253,2024,1771
NIF3L1,651,680,778,833,574,402
GARS1-DT,2399,4047,1749,2312,2711,1527
ATP2A1,645,541,653,403,645,709
AC146944,10,6,3,3,23,3
IARS1,17713,13316,18030,11375,8407,9516
MFSD14C,1064,1274,1114,1381,763,497
POM121,8405,9650,10000,4515,4751,2941
ZBTB44,3076,2914,3033,2385,1800,1142
GIMAP5,176,529,48,44,437,212
STK31,42,0,12,0,9,15
CGB7,0,0,0,0,0,0
NLGN3,144,294,213,86,113,100
ZKSCAN7,135,189,196,134,63,48
ZNF729,0,0,0,0,0,16
CD55,15481,23224,11145,7651,12194,11530
CPNE4,130,135,142,160,101,115
ZNF565,161,231,169,177,226,81
NTNG2,266,240,265,117,224,102
ELAVL3,8,6,0,0,10,24
WDR5,3362,3952,3639,3979,3571,2826
LONP1,25521,26894,28037,76467,53899,58707
C9orf163,23,0,34,18,29,0
TRRAP,10261,8450,12135,7041,3106,3454
NUDT11,591,1082,705,877,591,576
SRGAP2B,1061,1504,1194,371,418,221
FUT4,4530,3621,3801,4402,2190,1621
ASB13,1042,1038,818,1389,1100,1109
SLC35F1,0,16,8,0,4,11
ZNF34,381,473,463,445,405,324
ZNF781,204,211,137,305,221,142
ZNF140,2182,1991,2149,1846,1585,928
INCA1,88,154,119,212,207,146
ZNF774,43,72,93,30,69,61
PTPN1,26738,28880,30323,4787,12034,9109
EVL,2972,2342,1940,4649,5743,5911
SPANXD,0,0,0,0,2,0
THEM5,24,52,12,50,20,69
NOXO1,7,11,4,18,7,9
EPHB4,2756,4186,2149,3629,2275,2395
PRTN3,0,97,0,36,3,0
ZNF765,686,554,447,494,267,165
ZNF124,148,248,56,109,102,24
XRCC6,26750,23547,27987,39304,36252,35151
S100A5,0,0,0,0,9,0
C20orf204,38,63,33,70,105,65
PPP1R26,748,935,860,1330,611,682
NBPF4,0,0,0,0,4,0
TSC22D2,8749,6693,8939,3034,2153,2004
CRYBA4,0,10,0,0,0,0
ASMT,0,0,0,0,0,0
NPIPB15,336,410,570,1824,1660,1029
ZNF569,594,458,473,362,335,156
ARMCX4,1087,1169,1140,696,660,359
YRDC,530,630,519,697,866,653
ZNF777,829,1168,788,1665,1090,1262
PIK3R4,2270,2027,2393,1587,886,942
ZNF775,140,204,143,738,172,179
ZNF605,1542,1208,1097,1053,623,462
TRAPPC2,598,451,517,698,406,373
RFX8,12,75,20,42,0,0
MYL6B,2064,2184,1773,8451,6859,8655
ZNF799,146,182,211,105,89,50
SIAH1,2887,2961,2411,2541,2518,1808
C20orf96,582,733,603,1187,906,652
ESRRG,37,103,80,33,93,42
IPO4,2045,3154,2897,3745,3377,1625
NCOR2,11379,17803,18042,14367,13986,9286
SULT1A1,762,967,544,4354,2651,2143
ARL9,24,39,8,98,17,38
PRPF40A,10557,11748,10093,6402,5431,4045
GDAP2,1061,1032,972,1000,942,308
TCEAL3,4494,6854,4324,12608,16312,9107
ANAPC7,3553,3902,3470,5842,3538,2647
TPK1,1335,1524,1223,2079,1093,880
SLC6A9,401,1221,1565,269,248,144
AFAP1,1508,2757,2634,1102,746,519
NACA,26233,25878,22912,45487,41360,43035
MYO18A,4234,5321,6072,4931,3780,2875
SPTSSB,9,473,10,12,16,0
BORCS6,383,298,250,1229,788,395
MAN2A2,2916,3241,3067,1685,2075,1014
MME,32,137,61,16,324,48
FAM72A,41,214,76,29,152,53
CACNA1H,2318,2851,1564,3502,2293,2239
SULF2,2589,6582,2587,4259,4235,1770
AL096700,0,0,0,4,0,0
HBG2,3,0,0,0,126,47
LAMA2,6959,7970,10110,2106,3175,1899
PLXNB2,18415,34201,25652,21927,25484,15041
AJAP1,0,24,0,4,8,0
XRCC2,22,54,27,46,61,32
MYO6,6676,6113,6773,3835,2443,1708
MRTFA,6823,8786,8295,8940,7264,4551
MBD3L2B,10,2,0,0,8,0
HDAC2,6660,7370,5727,7519,6618,4798
ANKRD20A19P,0,0,0,0,16,0
ZNF782,190,239,149,110,128,114
POTEF,0,0,0,0,0,0
ZNF846,732,593,624,980,1000,767
MMP1,24,388,209,24,55,49
ADH1B,25,400,30,0,4,61
TCF4,2233,3298,3161,820,933,745
WNK3,5421,4747,4967,4377,2735,1758
SDHAF3,619,613,483,1113,532,625
HRH1,392,1091,628,94,518,572
RABL6,13363,14036,13380,40276,30549,30691
ZNF136,1069,1070,814,718,581,402
ZKSCAN5,2483,1908,2044,2030,1669,802
ZNF502,408,563,648,335,316,290
TRAPPC4,2205,2033,1867,4034,4935,2858
AC004057,1956,1278,877,1103,438,724
TTC30B,368,257,385,486,260,155
SLC30A10,24,33,12,35,8,23
TECPR2,2567,3080,3011,2125,1563,1673
TLR7,16,32,8,20,45,80
FAM180B,12,0,0,0,24,0
LINC00173,0,12,0,41,6,90
ZFP62,576,575,635,742,378,289
ERI2,560,649,542,630,343,113
TOMM7,436,394,321,976,1423,1631
HSH2D,265,333,97,124,1381,1062
TRPV1,591,834,1220,605,1283,396
ZNF33B,1123,919,1039,719,618,545
PDXDC2P-NPIPB14P,2476,2228,2551,1452,1011,1116
ZNF512B,2550,3381,2845,3920,2178,1313
AMZ2,4038,3514,3460,5393,4125,2449
ZNF431,2085,1877,1933,1236,1412,859
ALKAL1,0,4,0,0,0,0
NF1,7512,6856,7888,2602,2295,1835
VKORC1L1,3699,3632,3902,3299,2801,2485
ZNF418,42,72,31,18,42,11
DAPK1,4251,3498,3946,2033,3313,843
LCE1B,0,0,0,0,0,0
HLA-DQA1,311,101,319,30,3701,300
COL27A1,765,1469,1447,757,606,492
LINC01560,119,44,103,78,115,20
GM2A,15485,6289,13511,7019,6560,7425
H2AC13,26,43,36,17,10,8
CLPSL2,0,0,0,0,0,0
S100A2,59,81,54,10,201,297
SNHG17,1389,2431,1882,1273,2435,2620
ZNF700,1528,1953,1730,1977,1340,887
AC079612,0,4,0,4,0,0
POU3F4,0,0,4,0,0,0
CD47,7151,5978,6498,8964,6400,3806
TLE1,2511,2230,2095,4258,1303,1776
MAML3,1355,1515,1254,410,801,447
H2AC11,98,174,165,108,80,8
STRN3,5636,3527,4288,3085,1898,1289
ZNF239,389,566,321,261,523,202
NPIPB10P,58,23,28,37,38,16
SPRR2B,2,8,0,12,22,3
CTBP1-DT,924,1133,1230,1161,607,563
CHRNG,0,0,0,0,0,0
ZSCAN16,195,112,170,224,249,229
MVB12B,669,716,660,690,610,208
ILRUN,7968,7747,8326,8663,7032,6110
AC008758,0,0,18,0,0,0
OR11G2,4,5,0,0,0,4
POTEI,0,0,4,0,5,0
ADA,1679,2169,1464,2267,2840,2525
ARID5A,1897,2425,1173,3148,10419,7271
PPTC7,8696,8096,8896,3668,2791,3355
KRT39,0,0,0,0,1,0
TOMM20L,0,0,0,0,7,3
RGPD4,266,270,166,84,142,26
NHLRC2,6029,4325,5770,5294,1364,1462
H2AC7,25,3,11,2,2,3
ZFP28,1558,1105,1231,627,587,466
CRACDL,110,421,126,104,52,105
CBWD3,1133,1042,1188,1883,1455,980
SCN8A,44,154,126,83,28,47
LAMB3,1951,4828,1959,3263,6510,3906
H2BU1,23,11,22,9,4,28
AC090286,4,0,0,0,3,0
TEX43,0,0,0,0,0,0
KPNA5,978,559,782,566,456,429
ANKRD36B,367,395,259,265,265,285
ARHGEF12,10785,11094,9677,2155,3789,3249
HCAR1,2,26,12,0,4,16
ZNF252P,1357,1352,1388,1503,901,551
PDLIM7,2926,5544,4153,5040,12737,9183
FLNA,113600,139335,127798,46328,143047,82239
TMEM26,11,130,13,10,29,16
RPS26P11,4,0,5,22,5,11
SRGAP1,2993,3215,5289,1132,1518,1652
FAM3C,5101,5660,4692,3129,3605,2609
NOP9,4020,4545,3662,3404,2685,2035
ZNF705A,0,0,0,0,0,0
SLC39A10,1905,1736,2268,556,768,367
SCOC-AS1,40,28,32,54,39,0
CASP4,8196,7792,8141,6692,9131,8630
AP2A1,14994,18868,20001,23820,17684,12229
ZNF585A,448,404,296,895,735,830
FUT11,1496,1347,1267,1318,851,1179
SMIM10L2B,167,80,156,36,42,24
ANXA4,2381,2542,1684,2314,2388,1480
LAGE3,1422,954,1208,5790,4712,6671
GPRACR,11,0,0,0,0,12
WDR5B,100,171,137,282,85,25
FAM163B,22,32,66,122,40,37
NPIPB9,109,65,92,68,93,48
WDR45,5166,7381,4787,10272,10702,9100
METTL9,5430,6003,4632,6716,6225,5259
ZNF138,1050,892,982,1108,535,444
ZNF429,446,458,385,768,318,263
ZNF470,943,756,817,619,311,200
SERTAD1,3035,3119,1476,7924,11017,5011
ZNF100,758,475,687,537,383,205
EOLA2,2265,3024,2204,3512,4252,2518
ZNF398,1255,1228,1754,676,690,504
ZSCAN25,1285,1031,1172,722,405,329
ANXA6,37480,33280,49736,62760,38243,33457
ZNF441,306,281,382,473,91,56
GMFB,11103,8423,8272,4239,4599,2755
SIGLEC15,4,61,8,0,32,17
ZNF420,366,217,318,361,179,116
ZNF763,98,125,61,203,124,131
ZMYM1,466,417,467,470,252,175
DTHD1,4,32,0,4,23,0
H4C3,0,4,0,2,11,21
ZSCAN26,540,403,582,589,367,147
MAFG,3608,3671,3134,3054,3280,2046
OR2T32P,0,2,0,0,0,0
ARRDC1,2570,3184,3140,6870,5199,3728
KIAA1671,1231,1468,1423,353,261,312
IGF2R,21190,18360,23685,7810,8278,5994
ZNF300P1,93,728,138,280,36,657
NPSR1-AS1,0,0,0,0,24,12
GAL3ST4,332,513,224,542,395,217
AC068631,0,2,0,5,26,0
DYNC1H1,24938,24084,34369,19813,19435,15329
SLC6A17,38,50,19,0,24,22
PCBP2,36903,39850,34402,50420,39715,30288
ZGPAT,2548,3628,2590,7267,9706,7146
SLC25A29,3223,4231,3724,8856,6133,4401
PGAP1,8017,4131,10418,4096,1367,2154
SRC,8999,12475,9307,7847,7011,4833
ZNF682,294,386,218,255,254,219
ZNF772,157,199,168,137,51,30
ZNF257,215,74,41,107,16,20
PCNX3,5403,6293,6225,7923,6782,5221
ADAM32,233,165,227,57,134,204
ACSL5,309,1910,161,322,1643,639
LRRC8B,10666,10245,11727,1919,3346,2431
AC107956,0,0,0,4,0,3
ABCB8,9451,6840,14060,12523,7704,8825
H3C12,5,2,13,0,0,0
SND1,29029,29291,36502,26930,24569,21990
ZNF785,415,510,470,319,200,51
SULT1A2,29,44,19,89,149,143
NEK5,39,29,57,72,51,56
PSMD12,13959,11410,10421,8893,10972,8771
AL672167,0,4,0,0,0,0
MAGEA6,0,12,0,0,0,0
CH17-340M24,95,83,87,338,298,486
PIWIL2,32,12,16,12,28,47
MIRLET7BHG,216,476,214,462,834,707
NOL4L,901,1728,1560,1153,604,732
CYSRT1,42,80,32,200,207,46
SLC22A4,713,916,752,169,854,963
ZSCAN5B,0,0,0,8,4,8
ENTPD4,6034,7397,6649,3619,3928,2890
C1D,1562,1131,1131,1777,1131,1241
TBC1D9B,45807,46428,51757,40506,24008,23251
OR1J2,0,0,0,10,0,0
H4C11,27,4,33,38,21,112
SLC2A7,0,0,0,0,0,0
FAM110D,8,212,4,0,43,5
SERPINA1,732,993,777,353,11042,5728
LINC00336,4,0,0,0,7,0
TPSB2,0,0,6,8,28,125
KANK2,1125,4258,560,536,798,556
EIF4BP6,121,136,147,205,152,252
C6orf141,43,33,13,29,28,18
GTF2E2,2919,3150,2860,4944,3847,3065
IL27,0,0,0,0,42,35
RAD54B,84,139,103,189,101,16
ZNF165,27,262,46,94,114,194
SYNGAP1,2139,3378,2538,1610,1185,595
RAMP2-AS1,18,43,7,0,0,0
FITM2,2130,2459,2166,1693,968,590
BLM,93,138,119,126,147,146
HMGA2-AS1,57,72,153,0,48,42
ZNF720,790,690,780,530,402,253
GATA3-AS1,0,65,0,0,0,16
OR10D3,0,0,0,0,0,0
DDI2,2308,2916,2621,830,1455,713
AC060834,0,4,0,0,0,0
SVIL,6684,7534,8663,3054,3187,3048
TRIM33,3951,945,3769,2442,2274,1939
LRP10,14305,15416,15043,14804,15116,10424
PELI1,2504,4909,2329,793,1895,1744
AC008543,12,17,24,26,0,0
Metazoa_SRP,0,0,0,0,0,0
ZNF655,15751,13029,14142,6502,7474,2489
MRPL21,785,885,798,2762,2893,3242
LYPD2,0,0,0,0,0,0
UAP1L1,270,448,232,503,766,245
BNIP3P1,90,30,24,75,42,46
ZNF98,135,44,44,111,67,27
FBXL22,14,24,26,0,17,54
ZNF786,222,364,373,834,367,186
ZNF517,699,463,1139,2055,973,1122
ZNF675,376,393,328,217,231,133
SLC22A5,547,874,574,386,201,369
AC089987,0,0,9,0,0,0
DACT3,83,234,33,86,66,179
ADARB1,1685,2221,2179,970,1380,939
ZNF860,16,40,36,15,20,24
HTT,12208,13849,15958,11873,12305,11033
C5AR1,313,1288,401,985,23248,4102
DIO3,0,12,0,0,0,0
H3C4,2,1,1,4,1,4
DCHS2,135,8,79,12,0,4
VEPH1,84,91,202,88,62,267
SHPK,1737,2034,2135,1488,1338,955
GGT3P,0,0,0,0,0,2
IPP,696,647,625,470,221,185
OPALIN,0,4,0,0,0,0
MAP3K5,19474,13857,22675,11380,6391,3043
OGDHL,29,60,54,0,32,59
CYP2F1,0,0,0,4,19,0
GSTK1,5541,5325,4416,9383,10447,7400
HNRNPAB,9373,13269,9056,8084,8255,7474
STMN3,3651,2678,3173,6436,5543,5642
PDGFA,795,2874,672,940,2013,2430
GYPE,0,0,4,0,0,0
COL13A1,0,199,0,24,71,6
AC073648,0,0,0,0,0,0
SPN,118,64,40,15,424,199
ZNF695,16,25,16,20,0,0
PCDHB11,33,43,25,8,3,12
ZNF628,1051,1356,1236,4251,2389,1339
SLC2A10,1957,1876,1993,1261,716,388
ZNF665,54,74,87,95,45,125
RPF2,2611,2862,2876,4006,3653,3048
LINC00477,0,0,0,0,22,0
SLC28A3,1073,4256,4033,1377,522,822
FAM177B,0,0,2,0,6,0
MIB2,5315,6092,5362,21594,12914,13039
MYO5A,2552,2531,2776,795,2455,1001
IRF1-AS1,262,395,243,262,271,259
GZMM,87,59,21,167,628,964
ATG7,2007,2487,2658,3615,4860,3321
PRAMENP,0,0,4,0,0,0
AL359955,2,5,4,6,4,0
SIPA1L1,7135,8461,7148,2510,6141,3572
TTC30A,396,440,577,665,357,205
SSPOP,330,382,411,1103,380,389
ELANE,0,110,0,12,20,0
RAB40C,2878,2953,2965,6798,3268,3447
PIGN,1830,1826,1951,927,676,537
COL4A6,59,158,54,22,0,22
ZNF624,286,188,233,97,118,170
HHLA3,314,300,276,1421,803,532
RPS17P2,0,0,0,0,0,0
HOXA4,17,64,12,45,13,32
TOPORS,3563,2748,2972,1370,1274,770
BCO2,2668,2923,4089,4622,3479,1830
GPX1P1,527,297,480,1544,2561,1656
KCNMB2,24,14,33,23,20,6
AC068051,0,0,1,0,0,0
ENTPD6,32454,30657,37868,63819,37408,31617
DMBX1,0,8,0,0,8,0
KLKP1,0,0,0,4,6,6
ENPP1,94,226,80,81,62,92
ATP11AUN,0,0,0,0,0,0
CCDC154,28,60,39,162,243,192
FAR1,6397,6131,5100,3164,3575,2399
CPLANE1,1603,1365,2037,909,592,371
ZNF841,892,932,768,442,321,317
MFAP5,0,0,0,0,4,6
MYH6,118,4,3,95,117,220
ZNF615,252,349,241,223,151,110
EOLA1,678,730,583,1367,1420,1037
CDC42SE1,8076,11659,8395,4719,7126,4000
UBE2Q2P12,8,7,17,7,11,0
MPEG1,402,507,174,141,4271,672
SERPINB2,504,1819,1789,46,4988,3666
DPP4,8705,7924,11862,5885,5338,3866
AC106870,0,0,0,0,0,6
PDCD1LG2,54,81,98,36,83,54
ZNF433,211,100,223,363,237,243
DNAH10,130,112,163,13,3,18
AC007952,0,13,0,1,3,3
AL157838,26,49,94,10,22,0
SPTAN1,42841,38098,52496,28079,27105,29089
NMB,396,330,235,1161,1207,959
PARVA,11433,9719,13097,6978,5841,4374
KLHL14,0,8,0,0,8,0
FAM114A1,4515,4961,5063,3586,3058,2109
RPE,3291,3290,2881,2811,1812,1367
ZNF460,262,244,258,222,211,138
CR1L,0,5,0,0,0,0
PHF2,2322,3100,2257,1115,822,517
RPS26,3528,5529,4205,22800,19381,22176
C14orf178,0,10,2,5,0,10
PTMAP2,23,30,55,18,73,49
PSAP,221577,247822,224867,250480,253284,198704
S100A10,46115,47248,36912,65726,94776,135037
CFAP43,60,65,70,112,42,18
LHFPL5,122,393,196,2,0,44
RPL37A,5895,6921,5258,16303,17718,25802
HOXC6,93,205,118,210,159,32
TXNRD3,568,530,663,843,392,547
CFD,49,264,0,408,3003,2741
STPG3,12,7,14,30,9,0
MAP1LC3C,0,23,6,0,0,0
MCMBP,3719,3713,3186,2458,2419,1999
EME2,5332,7204,7179,11730,7536,1858
KLHDC1,247,298,239,290,172,129
ZNF81,895,685,742,403,313,144
TAF13,2412,2437,1571,1273,1342,1150
ZNF780A,660,211,199,241,202,179
ATAD3A,4290,5273,4429,8997,9352,11083
FAM118B,753,977,730,901,723,346
ZNF461,871,702,733,611,310,337
AC011450,7,15,8,7,41,1
AC122129,30,27,113,10,23,24
CCDC180,630,281,1062,289,235,988
SLC9A8,2622,3081,3363,2120,2585,1759
OCLN,1084,1174,992,719,416,387
CFAP299,0,0,8,4,5,21
H4-16,88,62,66,11,2,64
ZNF181,727,632,499,993,395,372
SLC22A20P,13,58,28,23,51,50
INKA2,159,669,195,213,425,88
ZNF44,661,735,527,859,864,585
GPAA1,9534,10526,8087,23805,22381,18911
ADAMTSL2,29,219,60,253,257,43
SGTB,1188,1425,1231,723,922,634
ZNF790,164,130,151,232,91,163
PRB3,0,8,0,16,66,70
CYRIA,4204,2366,3080,8000,2184,2100
MYO1C,19069,23114,18830,9425,14647,7830
MDS2,0,0,0,0,0,0
OR7E13P,0,13,3,0,0,0
NKIRAS1,1547,1110,843,2137,1377,1159
OR1S2,0,0,0,0,0,0
MEIG1,0,6,9,69,0,26
SLC22A12,0,0,0,0,0,0
KIF13B,33227,40174,46309,29333,23212,18582
NRAP,0,0,0,0,31,26
ADH5,9319,8127,7850,8483,6479,5390
SLC22A6,0,0,0,0,0,0
H2BC12,2301,2894,2051,4446,2577,1646
TEAD4,1554,2309,1519,1207,2470,3244
SPG7,11025,15481,13589,18154,15153,10658
HRNR,128,205,231,41,58,47
IFNA1,0,0,0,0,0,0
C2orf27A,134,64,118,55,36,1
ZNF677,744,642,538,337,302,350
ERO1A,10110,9239,8430,5349,5366,4162
ZNF823,88,252,74,74,108,85
CYYR1-AS1,0,0,4,0,0,0
ZNF311,84,36,110,169,196,95
ZNF347,506,565,487,410,146,113
PLCG2,280,565,117,81,774,416
FCHSD1,2579,2987,2253,2566,3863,1479
ZNF71,615,593,587,593,428,368
S100A6,1868,3887,1259,3271,14775,11758
RPL12,20357,25573,20643,49411,64244,67688
DNM3,628,673,321,380,620,317
ZNF121,1878,2812,1880,1703,1850,1154
MPZL1,11531,8539,11075,5459,4849,7165
VPS13A,3641,3122,2916,1222,1339,993
MBP,238,577,97,85,1429,311
AKAP17A,6376,7208,7242,9132,9126,4050
ELOVL2,149,263,142,42,65,68
GOLGA6L9,1782,1166,1446,960,638,668
LEKR1,51,16,48,49,44,9
C1orf122,2045,2352,1511,8701,9748,17029
SNHG12,331,719,336,412,789,698
AL592490,13,0,0,0,8,0
CLEC9A,4,11,0,0,20,0
KEL,16,30,17,58,29,67
NOL8,3116,3410,3751,3336,2195,1983
IRAK4,1646,1584,1247,1144,1437,888
CCDC151,48,42,66,293,210,414
DLGAP2,0,2,4,0,0,0
MRPL42,4449,4637,3518,3257,2129,2009
ENTPD7,1883,2083,2143,386,708,524
FCGR1B,55,44,56,46,245,199
SPANXA1,2,0,2,4,2,0
ZNF335,5108,5158,5481,4411,4516,2846
ZNF560,0,12,0,0,4,0
RPS4X,39992,46731,32481,90243,104135,103810
ZNF273,188,171,111,104,101,108
ZNF84,1843,1468,1398,2034,1535,675
MAK16,2204,2014,2074,876,1235,737
ZNF667,1601,2003,1936,1462,1601,730
AVPR1B,0,0,0,0,0,0
SIRPA,803,1299,933,414,4717,1652
GRK6,1887,2494,1858,3322,6335,3128
PRIM1,150,203,126,188,167,8
MARCHF5,2929,3028,2639,2858,1697,1012
POTEH,0,0,0,0,0,0
NPIPB13,1146,1331,1347,1535,1509,1407
AKR1B10,126,154,0,45,181,0
SULT1C4,149,282,136,36,98,64
CYP2A7,13,0,10,3,17,0
ZBTB14,753,910,643,441,494,198
CD2AP,4879,5011,5154,2744,2401,2205
NUP62CL,14,8,23,0,8,0
SFI1,2251,2952,3808,5185,3923,3186
KRTAP4-6,0,2,0,0,0,0
TMPRSS11F,0,0,1,8,7,0
ZNF649,178,215,186,84,61,10
OR2T6,0,0,0,0,0,0
ZNF248,464,419,413,616,317,173
AC025279,280,306,270,273,316,247
CHSY3,4836,2509,6045,1682,712,736
TOR4A,46,386,60,45,728,70
LPAR1,32,235,12,20,47,10
MB,0,12,0,0,39,71
HIBCH,1318,1550,1483,2555,1913,879
ZNF544,1336,1685,1469,2222,1347,1189
TMEM229B,1842,2210,1600,4329,2022,1609
PTMAP9,22,24,15,18,33,21
SOWAHC,23142,19386,25601,6969,13521,9022
ZNF770,3092,3071,2637,2159,1629,1428
ZNF849P,4,4,7,0,0,0
ZNF876P,194,117,147,264,87,120
NPIPB6,106,60,65,42,178,120
HMGN5,736,609,697,2040,1833,1827
MIER1,7722,5700,6559,3478,3274,2038
MAN1A2,6097,4443,4871,2539,2143,1405
SVIP,564,397,243,552,313,280
ZNF251,1064,1315,1338,1175,660,609
DDRGK1,3391,3240,3061,12637,9978,11060
TFDP1,4503,3790,3378,2807,2548,1658
CLEC4C,0,0,0,0,0,0
ZNF607,388,277,340,585,278,293
ZNF334,997,853,1255,1368,427,401
HSD17B11,1910,2197,1443,2069,2876,1802
SZT2,5197,7316,8005,5131,4053,3262
SULT1C2,24,67,3,7,18,17
ZXDA,289,258,150,106,96,55
RPS6KL1,108,147,207,129,37,167
CACNA1E,392,104,85,321,113,29
QRICH1,10238,9561,10554,6306,5702,3735
AFDN-DT,0,0,18,8,2,40
CSF2RA,77,165,43,71,1480,778
FKBP1C,649,853,802,293,339,185
DDX42,11312,11588,12505,7826,6506,5184
AC131392,40,33,52,43,32,15
RPL23A,15531,16252,11094,38455,40890,55803
SLC29A3,263,574,365,904,704,375
STYX,1110,1310,874,503,691,778
UBL5,1163,1088,916,4352,4469,5313
HELZ,5460,4776,6095,2191,2065,1611
TMEM116,427,478,404,560,345,152
UCKL1,3053,3725,3662,8811,8128,7403
CARD11,1247,1762,1323,1021,1552,1724
ZNF485,27,54,40,76,100,38
PEG3,12331,17043,16343,20514,4948,2834
SDAD1,1889,2456,2200,1274,1400,884
BMS1P9,0,0,0,5,0,0
ZKSCAN8,2626,2104,2757,764,844,518
PHETA1,542,816,462,967,969,713
TMEM239,6,12,8,0,14,37
HYLS1,27,56,21,58,47,35
MYL4,19,48,0,72,156,220
ZNF442,32,87,70,142,28,76
ZNF813,92,75,60,51,78,41
HOXC4,111,64,140,101,62,24
DCAF12L2,1167,931,861,1218,496,344
PIM3,21505,32634,19289,18435,42492,26157
GET3,5391,5479,4927,12206,10152,9503
AL354714,0,0,0,0,6,0
ASPH,7454,9087,7363,3800,6433,3342
SPRED2,7548,6651,7831,1510,2172,2041
WWP2,4208,5217,5263,4476,4517,3063
GFPT1,5811,4891,4390,2549,2363,1513
UVRAG,2574,2425,2988,1919,1614,1102
ZNF26,2306,2597,2038,1434,1683,1459
ITSN2,4487,4559,4688,3684,2416,1926
NTRK1,0,31,14,0,73,32
BZW1P2,209,176,180,53,110,39
OGA,19672,17374,21576,11992,11100,7655
TATDN2P1,0,0,0,0,0,0
ZNF658B,51,86,85,64,27,25
MT1F,542,413,286,2149,1489,2726
TCAF1,40418,40943,50872,24089,28316,16519
ZNF69,91,94,78,155,92,89
TXNRD1,48355,46327,54845,13514,25793,17054
NRARP,30,358,14,72,457,34
ZNF583,776,337,374,390,381,307
KRTAP4-1,0,4,0,0,0,0
CCT8L2,0,4,0,0,0,0
ZNF568,636,608,752,797,381,280
LINC02692,2,0,0,0,0,0
ZXDB,2386,1788,2032,867,771,524
ZNF480,607,505,631,701,194,381
ZNF587,1615,1519,1720,752,636,302
TPM2,7732,13934,8214,22838,26749,27325
FLVCR1-DT,41,26,8,37,97,32
RTP2,0,0,0,0,0,0
SH3BGRL2,216,635,294,155,249,280
ZNF808,373,320,429,265,233,147
ANKRD35,0,64,0,0,27,15
B3GNT6,0,4,0,0,16,0
YTHDF2,5706,5331,4661,5877,5205,3293
NBR2,200,127,151,313,174,61
TMA16,821,1232,1015,1050,859,888
HLA-DRB5,321,696,2362,7521,27912,3254
ATL1,161,212,183,25,35,50
CNGA1,0,48,0,0,0,0
MAFK,5100,7087,5150,5991,9112,5666
ARMH1,191,307,157,758,1515,642
ZNF43,1680,1577,1704,1295,916,1139
GPN1,3853,3390,3048,3052,2625,2493
PLN,24,42,56,0,50,115
C2CD4A,45,26,18,23,4,20
ZNF28,1032,1048,829,586,429,132
ITGBL1,0,67,63,0,14,14
ZNF511,1170,1523,1083,3764,3494,3339
C20orf203,0,0,6,0,17,12
ZNF627,386,419,427,228,144,79
KCNRG,30,28,48,39,23,42
WDHD1,473,486,483,282,239,223
ZNF789,1111,866,986,985,493,239
CTNND1,16976,15926,11930,3707,4335,2050
DDX39B,38665,45990,41515,47520,45504,33114
SLC34A3,12,27,22,12,22,0
SPANXC,0,0,0,0,2,0
SH2D1B,80,33,32,7,28,0
ARC,3519,1195,1942,956,2210,2887
AC073343,28,32,32,17,0,13
NUDT16,25133,17814,19919,22645,14443,14311
TLK1,5164,3950,4702,3808,2046,1678
LRBA,2857,2737,3166,1495,1012,794
C3orf35,303,285,248,95,106,187
ZNF536,52,12,19,8,16,40
MMP17,51,109,53,111,468,307
BAZ1A,4426,6261,5264,2550,3279,2976
AKR1C4,0,0,0,2,0,0
COPS8,15789,17221,12821,14054,15766,9081
PPIAP22,399,446,333,560,635,694
CCDC69,34880,30389,41885,50490,22570,27498
MDM4,4349,5016,4851,3405,3347,2432
RYR2,286,682,268,32,98,166
ZNF534,0,5,0,0,0,0
KLHL9,3502,2614,2745,1759,1437,655
FAM3D,0,70,0,0,47,0
NCOA6,4929,5048,6711,3115,2249,1397
STK39,1634,2090,2030,949,1703,806
TAT,4,13,6,5,18,32
ABHD17AP1,40,41,23,64,61,83
C6orf89,15843,14033,17607,17119,8212,8074
CALM1,55209,53434,53678,83518,60530,37362
TAFA2,283,203,378,166,376,143
TTC37,9733,7935,9266,4362,3438,1851
TUSC1,1851,2484,2077,3013,1976,4834
MAGEA1,8,0,12,0,4,12
PAPSS2,15001,13056,26974,10761,6093,4826
LINC01565,39,0,12,0,20,0
SLC9A6,1590,1006,1445,677,729,775
FAN1,2398,2906,2951,1102,1037,707
ABCA4,0,68,0,16,28,0
EIF1AY,0,12,9,9,12,2
MT-ND6,52175,103017,40128,106789,62562,46963
IPO9,7329,6196,7864,5209,3525,3042
OR10R3P,0,4,0,2,0,0
CEP290,1869,2177,1937,2584,1284,1103
SSBP3-AS1,80,106,41,55,31,5
MT-CO2,257514,494871,289231,339828,385559,385849
GLMP,2551,3114,2439,4341,4604,2892
TOGARAM1,2656,2083,2724,1694,842,465
DLL1,49,143,28,27,55,4
ANKRD13B,594,1243,855,1082,1051,572
ECI2,5350,5008,5369,9266,7232,6542
UNC13B,7475,6936,8351,5188,3424,3021
TEX45,107,63,72,92,92,31
MT-CYB,215803,455378,202276,179199,171546,153460
