"","DOR_1","DOR_2","DOR_3","NOR_1","NOR_2","NOR_3"
"PHTF2",3056.74942281065,2564.41185210018,2717.91530060863,2459.51704356574,1973.29203503068,2129.39281737929
"CCL26",19.6134066269531,46.9315704976898,34.7052300333097,10.302622802446,57.7787742267049,38.3340170376062
"FARP2",4678.77815085967,4893.28035038177,5515.15684129339,2651.52046852041,2224.97245835718,1647.12615142231
"USH1C",0,0,0,0,17.6274226454354,21.0218803109453
"GGCT",5574.13016338008,4391.20109618951,4150.74551198385,6963.63641238052,6614.20069707059,8131.75793675156
"DBF4",1485.7155519917,1196.31229702602,1333.67241128005,620.967174365607,1504.20673241049,1012.75999850966
"TBXA2R",96.1056924720704,263.879396383237,50.570478048537,140.490310942445,59.7373767428644,69.2485469066435
"IFRD1",2465.40521300801,2739.74111546891,2135.85901404998,3188.19345632055,2584.37602007244,2746.44683356527
"COX10",788.458946403516,874.87531418335,1057.02214901452,930.982460511935,905.853663723763,1018.94290448347
"GTF2IRD1",1123.84819972441,1321.16798457648,1249.38828119915,1520.10516439725,964.611739208548,963.296750719201
"PAF1",3989.36690792227,4473.552719893,4104.14134593911,13163.9421353071,10123.0371047703,9543.93366116919
"VPS41",11912.20251488,9115.35069251357,14571.2387239853,11929.5006031595,5819.98737676792,7206.79520306997
"ARHGAP44",365.790033592676,463.117195665883,241.945032232216,65.5621451064743,182.150034002832,220.111452667545
"ELAC2",7626.67316689073,6169.28776712085,8750.67585839881,9235.83304135633,7757.04526524965,8182.45776573678
"SCIN",11.7680439761719,116.000674249007,28.7557620275995,43.0836953556831,66.5924855494226,11.1292307528534
"ARSD",7175.5648144708,5365.25255934911,9002.53667064055,5899.65645750974,5424.3496685037,6875.39144287389
"PNPLA4",1491.59957397979,975.82246581989,1198.81780315061,2156.05797193006,1186.91312479265,1600.13606602137
"ADIPOR2",24497.1448770645,14106.9216905414,19730.4190629371,12180.50995871,10554.9089595835,11205.8987869286
"CDKL3",82.3763078332032,70.8401064116073,36.6883860352132,329.683929678271,70.5096905817416,0
"PRSS21",0,5.31300798087055,0,7.49281658359707,96.9508245498946,4.94632477904596
"MARK4",6799.96807756465,7870.33582232957,8523.60449618087,11104.3541768909,6853.15020404205,7374.97024555753
"PROM1",51.9755275614258,41.6185625168193,144.770388138949,45.893501574532,8.81371132271769,37.0974358428447
"CCDC124",3291.12963200274,4191.96329690686,3753.12273360221,13328.7841001462,15389.7192707232,19583.7363814377
"CEACAM21",119.641780424414,194.81029263192,178.484040171307,229.46750787266,71.4889918398213,466.191110425082
"PAFAH1B1",14461.9453763839,11523.0288091781,14216.2537996446,10029.1349971447,8802.93900887882,8984.99896113699
"NOS2",61.7822308749024,37.1910558660938,185.425086177969,122.694871556402,128.288464808446,21.0218803109453
"DNAH9",73.5502748510742,37.1910558660938,76.3515060732814,97.4066155867618,129.267766066526,53.1729913747441
